"TOA5","OwascoMetInternet","CR1000","60228","CR1000.Std.26","CPU:Owasco_MET.cr1","22473","TRB_Avg"
"TIMESTAMP","RECORD","AirTempC_Avg","RHumidity_Avg","P_mb_Avg","SolarRad_Avg","Precip_mm_Max","Precip_mm_TMx"
"TS","RN","","","","","",""
"","","Avg","Avg","Avg","Avg","Max","TMx"
"2016-10-25 09:35:30",24078,5.333,67.4,998.1872,82.2,0,"2016-10-25 09:30:30"
"2017-04-12 16:35:30",24079,8.67,65.7,999.4493,174.4,0,"2017-04-12 16:30:30"
"2017-04-12 17:05:30",24080,8.01,67.85,999.5522,154.6,0,"2017-04-12 17:00:30"
"2017-04-12 17:35:30",24081,7.856,67.27,999.9318,88.7,0,"2017-04-12 17:30:30"
"2017-04-12 18:05:30",24082,8.13,65.43,1000.187,115.1,0,"2017-04-12 18:00:30"
"2017-04-12 18:35:30",24083,7.743,65.33,1000.633,25.13,0,"2017-04-12 18:30:30"
"2017-04-12 19:05:30",24084,7.847,63.64,1000.615,17.49,0,"2017-04-12 19:00:30"
"2017-04-12 19:35:30",24085,8.15,61.55,1000.557,5.321,0,"2017-04-12 19:30:30"
"2017-04-12 20:05:30",24086,8.11,62.74,1001.015,0.085,0,"2017-04-12 20:00:30"
"2017-04-12 20:35:30",24087,8.12,61.94,1001.377,0,0,"2017-04-12 20:30:30"
"2017-04-12 21:05:30",24088,8.13,61.65,1001.938,0,0,"2017-04-12 21:00:30"
"2017-04-12 21:35:30",24089,7.995,63.23,1002.057,0,0,"2017-04-12 21:30:30"
"2017-04-12 22:05:30",24090,7.837,65.31,1002.152,0,0,"2017-04-12 22:00:30"
"2017-04-12 22:35:30",24091,6.636,74.47,1002.355,0,0,"2017-04-12 22:30:30"
"2017-04-12 23:05:30",24092,6.045,73.14,1002.541,0,0,"2017-04-12 23:00:30"
"2017-04-12 23:35:30",24093,6.001,69.59,1002.486,0,0,"2017-04-12 23:30:30"
"2017-04-13 00:05:30",24094,5.675,68.83,1002.691,0,0,"2017-04-13 00:00:30"
"2017-04-13 00:35:30",24095,4.838,70.77,1002.815,0,0,"2017-04-13 00:30:30"
"2017-04-13 01:05:30",24096,4.529,68.69,1003.013,0,0,"2017-04-13 01:00:30"
"2017-04-13 01:35:30",24097,4.175,70.17,1002.971,0,0,"2017-04-13 01:30:30"
"2017-04-13 02:05:30",24098,4.13,69.31,1003.228,0,0,"2017-04-13 02:00:30"
"2017-04-13 02:35:30",24099,4.149,67.6,1003.1,0,0,"2017-04-13 02:30:30"
"2017-04-13 03:05:30",24100,4.124,68.32,1003.013,0,0,"2017-04-13 03:00:30"
"2017-04-13 03:35:30",24101,4.108,68.49,1003.097,0,0,"2017-04-13 03:30:30"
"2017-04-13 04:05:30",24102,4.102,68.58,1003.269,0,0,"2017-04-13 04:00:30"
"2017-04-13 04:35:30",24103,4.12,69.3,1003.56,0,0,"2017-04-13 04:30:30"
"2017-04-13 05:05:30",24104,4.008,68.18,1003.619,0,0,"2017-04-13 05:00:30"
"2017-04-13 05:35:30",24105,3.838,68.77,1003.565,0,0,"2017-04-13 05:30:30"
"2017-04-13 06:05:30",24106,3.467,72.23,1003.754,0,0,"2017-04-13 06:00:30"
"2017-04-13 06:35:30",24107,3.288,73.83,1004.303,3.355,0,"2017-04-13 06:30:30"
"2017-04-13 07:05:30",24108,3.042,76.15,1004.622,38.7,0,"2017-04-13 07:00:30"
"2017-04-13 07:35:30",24109,3.069,76.25,1004.901,91.4,0,"2017-04-13 07:30:30"
